"mc_id";"mc_name";"mc_type";"mc_num"
1;"การมุ่งผลสัมฤทธิ์";"อาจารย์";3
2;"การมุ่งผลสัมฤทธิ์";"ผู้ช่วยศาสตราจารย์";3
3;"การมุ่งผลสัมฤทธิ์";"รองศาสตราจารย์";4
4;"การมุ่งผลสัมฤทธิ์";"ศาสตราจารย์";5
5;"บริการที่ดี";"อาจารย์";3
6;"บริการที่ดี";"ผู้ช่วยศาสตราจารย์";3
7;"บริการที่ดี";"รองศาสตราจารย์";3
8;"บริการที่ดี";"ศาสตราจารย์";4
9;"การสั่งสมความเชี่ยวชาญในงานอาชีพ";"อาจารย์";3
10;"การสั่งสมความเชี่ยวชาญในงานอาชีพ";"ผู้ช่วยศาสตราจารย์";3
11;"การสั่งสมความเชี่ยวชาญในงานอาชีพ";"รองศาสตราจารย์";4
12;"การสั่งสมความเชี่ยวชาญในงานอาชีพ";"ศาสตราจารย์";3
13;"การยึดมั่นในความถูกต้อง ชอบธรรม และจริยธรรม";"อาจารย์";3
14;"การยึดมั่นในความถูกต้อง ชอบธรรม และจริยธรรม";"ผู้ช่วยศาสตราจารย์";3
15;"การยึดมั่นในความถูกต้อง ชอบธรรม และจริยธรรม";"รองศาสตราจารย์";4
16;"การยึดมั่นในความถูกต้อง ชอบธรรม และจริยธรรม";"ศาสตราจารย์";5
17;"การทำงานเป็นทีม";"อาจารย์";3
18;"การทำงานเป็นทีม";"ผู้ช่วยศาสตราจารย์";3
19;"การทำงานเป็นทีม";"รองศาสตราจารย์";4
20;"การทำงานเป็นทีม";"ศาสตราจารย์";5
