"sf_id";"sf_name";"f_id_id"
1;"ภาระงานสอนทฤษฎีเฉพาะทางภาคปกติ";1
2;"ภาระงานสอนปฎิบัติเฉพาะทางภาคปกติ";1
3;"การดูแลนักศึกษารายวิชาฝึกงาน สหกิจศึกษา ฝึกประสบการณ์วิชาชีพครูโครงงาน และวิชาชีพอื่นที่ไม่ปรากฎเวลาในตารางสอน";1
4;"ภาระงานการเป็นที่ปรึกษาพิเศษวิชาโครงการ /โครงงาน (เพื่อสำเร็จการศึกษา) วิทยานิพนธ์ การศึกษาเฉพาะเรื่อง/สารนิพนธ์/การค้นคว้าอิสระ/ปริญญานิพนธ์/ศิลปนิพนธ์";1
5;"ภาระงานสอบโครงการ/วิทยานิพนธ์ (ต่อ 1 เรื่อง)";1
6;"โครงการ";1
7;"การพัฒนาผลงานทางวิชาการ";2
8;"การพัฒนาผลงานทางวิชาการใหม่";2
9;"ภาระงานสำหรับการจัดทำข้อเสนอโครงการวิจัย";2
10;"ภาระงานวิจัยโครงงานเดียวและโครงงานย่อยในโครงการชุดวิจัย";2
11;"ภาระงานวิจัยของชุดโครงงานวิจัย";2
12;"ภาระงานสำหรับโครงการวิจัยร่วมที่ดำเนินการกับหน่วยงานภายนอก";2
13;"ภาระงานเผยแพร่ผลงานวิจัย ผลงานทางวิชาการหรือการสร้างสรรค์";2
14;"ภาระงานสำหรับการเป็นอาจารย์พิเศษ/วิทยากรของหน่วยงานภายนอก/ภายในหรือกรรมการอื่น ๆ";3
15;"ภาระงานการจัดประชุม สัมมนาฝึกอบรมและจัดนิทรรศการ";3
16;"สัมมนา การประชุมวิชาการ";3
17;"ภาระงานที่ปรึกษาโครงการวิจัย/วิทยานิพนธ์/เมธีวิจัย/ผู้เชี่ยวชาญ";3
18;"ภาระงานสำหรับงานที่มีรายได้เข้ามหาวิทยาลัย";3
19;"เวลาในการจัดทำโครงการ/กิจกรรม";4
20;"เวลาในการจัดโครงการ";4
21;"ภาระงานในลักษณะกิจกรรมที่เกี่ยวกับการเรียนการสอน งานบริการวิชาการ/กิจกรรมนักศึกษา";5
22;"ตำแหน่งงาน";6
23;"ตำแหน่งงาน";7
